Source IP,Destination IP,Source Port,Destination Port,Protocol,SYN Flag Count,ACK Flag Count,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Init Fwd Win Bytes,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow Duration,Flow IAT Mean,Flow IAT Std,Bwd IAT Mean,Down/Up Ratio,Active Mean,Active Std
10.1.1.1,10.1.1.4,49158,80,6,0,11794,0,539604,74692,32768,10377,1417,1982568,536,40,209.10537069596586,0.0,2821383.8777260655,11845.337693563908,995665.9999999999,84.42855931484779,593.2732216965702,653.5593220338984,0.03698765355535228,995665.9999999999,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,188,0,6344,3432,32768,122,66,62464,536,176,38.86926384858797,0.0,76238.32845065539,189.52721026027734,991941.9999999999,5304.502673796791,11179.215176443415,10949.169230769226,0.06506675680243366,991941.9999999999,0.0
10.1.1.6,10.1.1.4,49154,80,6,0,97,0,3172,1872,32768,61,36,31232,512,512,0.0,0.0,56581.1149256463,144.34717131628247,671991.0000000002,6999.906250000003,18239.7335518723,12739.628571428591,0.07098191651174582,671991.0000000002,0.0
10.1.1.7,10.1.1.4,49154,80,6,0,179,0,6188,3120,32768,119,60,60928,536,224,27.4789453395648,0.0,75281.77631295777,183.4441171828724,975773.9999999994,5481.876404494379,9291.172077850435,13316.542372881333,0.06064281382656155,975773.9999999994,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,162,0,5928,2496,32768,114,48,58368,512,512,0.0,0.0,75373.68949171307,175.16694924051066,924832.0000000003,5744.298136645965,4747.891143300383,16412.765957446805,0.0506420690902514,924832.0000000003,0.0
10.1.1.4,10.1.1.5,80,49154,6,0,17,0,884,0,32768,17,0,0,0,0,0.0,0.0,3059125.9640087513,43701.79948583931,389.00000000019475,24.31250000001217,35.64884070728417,0.0,0.0,389.00000000019475,0.0
10.1.1.2,10.1.1.4,49154,80,6,0,11685,0,485680,150436,32768,9340,2345,1777880,536,16,205.45103047864507,0.0,2624488.7183005386,11685.724514919943,999937.9999999985,85.58182129407723,493.59218544314297,416.1036689419792,0.07922341755494144,999937.9999999985,0.0
10.1.1.9,10.1.1.4,49153,80,6,0,196,0,6760,3432,32768,130,66,66560,512,512,0.0,0.0,80599.90100709729,196.78102388379506,996030.9999999986,5107.851282051274,4688.5191969250045,12847.353846153836,0.06106264869151467,996030.9999999986,0.0
10.1.1.7,10.1.1.4,49154,80,6,0,20,0,156,884,32768,3,17,1536,512,512,0.0,0.0,26364.94252873576,179.59770114942617,111359.99999999946,5861.052631578918,20304.228147886824,17.99999999996249,0.6815578465063001,111359.99999999946,0.0
10.1.1.1,10.1.1.4,49153,80,6,0,11567,0,491140,138456,32768,9445,2122,1336264,536,24,173.31022588264378,0.0,2179519.15693064,11596.013225089171,997498.0000000002,86.2439910081273,510.9398900877121,456.9438943894387,0.08844035337691636,997498.0000000002,0.0
10.1.1.4,10.1.1.3,80,49171,6,0,11800,0,145204,487396,32768,2427,9373,0,0,0,0.0,206.7128987517337,2789113.4642294385,11827.961300514417,997636.0,84.55258920247478,466.6161004821034,106.29054630815193,13.730901582931866,997636.0,0.0
10.1.1.8,10.1.1.4,49154,80,6,0,100,0,3224,1976,32768,62,38,31744,512,512,0.0,0.0,71071.78169237585,183.43945305692714,545138.999999999,5506.454545454535,5703.189655616716,8360.027027026998,0.07371688282895467,545138.999999999,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,175,0,6344,2756,32768,122,53,62464,512,512,0.0,0.0,75720.93702049865,177.3585135126919,986701.9999999993,5670.701149425283,4767.973988673291,16530.5769230769,0.05225057743225734,986701.9999999993,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,83,0,3172,1144,32768,61,22,31232,512,512,0.0,0.0,75677.77391872858,169.5711688152495,489469.99999999895,5969.146341463404,3962.9214252224333,14529.190476190495,0.04337783786828911,489469.99999999895,0.0
10.1.1.4,10.1.1.3,80,49171,6,0,11546,0,168984,484120,32768,2236,9310,0,0,0,0.0,207.59957035445757,2793756.63767258,11546.3002038053,999973.9999999999,86.61533131225637,500.2406319781398,107.18562681276197,12.352087634778618,999973.9999999999,0.0
10.1.1.4,10.1.1.1,80,49163,6,0,10880,0,150580,457652,32768,2079,8801,0,0,0,0.0,193.58709237586638,2580002.407340535,11193.104718284565,972027.0000000007,89.34892912951564,568.8218157409037,110.12795454545467,12.339390006489293,972027.0000000007,0.0
10.1.1.2,10.1.1.4,49157,80,6,0,9726,0,385476,168372,32768,7413,2313,1550000,536,32,210.03682334758517,0.0,2281528.3499607034,9737.149035645807,998855.0000000007,102.71002570694094,608.2543344270908,423.1107266435987,0.10150562373423687,998855.0000000007,0.0
10.1.1.6,10.1.1.4,49153,80,6,0,189,0,6344,3484,32768,122,67,62464,512,512,0.0,0.0,76133.21250292945,190.09666767582198,994230.9999999992,5288.462765957442,4732.16881518642,13819.106060606055,0.06605261675398569,994230.9999999992,0.0
10.1.1.5,10.1.1.4,49153,80,6,0,188,0,6344,3432,32768,122,66,62464,512,512,0.0,0.0,76769.63323679277,190.84802507824287,985076.9999999986,5267.79144385026,4181.1175928796965,14035.215384615376,0.06506675680243366,985076.9999999986,0.0
10.1.1.7,10.1.1.4,49153,80,6,0,179,0,6292,3016,32768,121,58,61952,512,512,0.0,0.0,76658.96117957759,184.23181508477737,971602.0000000007,5458.438202247195,4391.696893654123,15991.017543859658,0.05765243815853,971602.0000000007,0.0
10.1.1.4,10.1.1.9,80,49154,6,0,8,0,416,0,32768,8,0,0,0,0,0.0,0.0,76180.11154945024,1088.2873078492892,7350.999999999885,1050.1428571428407,1912.440432579034,0.0,0.0,7350.999999999885,0.0
10.1.1.8,10.1.1.4,49153,80,6,0,88,0,3120,1456,32768,60,28,30720,512,512,0.0,0.0,76187.17089022063,181.7915140547564,484071.0000000001,5564.034482758621,4427.878606379552,16078.888888888878,0.056128293241695305,484071.0000000001,0.0
10.1.1.3,10.1.1.4,49170,80,6,0,7535,0,258024,163852,32768,4962,2573,1990664,536,48,209.30600188489709,0.0,2559925.1764100767,7569.760339478891,995407.9999999994,132.12211308733734,833.0946186974666,382.2406687402802,0.0898912063452415,995407.9999999994,0.0
10.1.1.7,10.1.1.4,49153,80,6,0,182,0,6240,3224,32768,120,62,61440,512,512,0.0,0.0,74774.98455208086,183.45978954541272,992043.0000000007,5480.900552486191,4550.966898788263,15519.14754098362,0.06214203894616266,992043.0000000007,0.0
